R_gds_inst (Vctrl=0) X,R_gds_inst (Vctrl=0) Y,R_gds_inst (Vctrl=0.1) X,R_gds_inst (Vctrl=0.1) Y,R_gds_inst (Vctrl=0.2) X,R_gds_inst (Vctrl=0.2) Y,R_gds_inst (Vctrl=0.3) X,R_gds_inst (Vctrl=0.3) Y,R_gds_inst (Vctrl=0.4) X,R_gds_inst (Vctrl=0.4) Y,R_gds_inst (Vctrl=0.5) X,R_gds_inst (Vctrl=0.5) Y,R_gds_inst (Vctrl=0.05) X,R_gds_inst (Vctrl=0.05) Y,R_gds_inst (Vctrl=0.15) X,R_gds_inst (Vctrl=0.15) Y,R_gds_inst (Vctrl=0.25) X,R_gds_inst (Vctrl=0.25) Y,R_gds_inst (Vctrl=0.35) X,R_gds_inst (Vctrl=0.35) Y,R_gds_inst (Vctrl=0.45) X,R_gds_inst (Vctrl=0.45) Y
-0.141,184141.8248,-0.141,163759.7594,-0.141,139637.6842,-0.141,110970.0585,-0.141,77274.45269,-0.141,39120.98613,-0.141,174368.1131,-0.141,152217.7456,-0.141,125917.2475,-0.141,94748.42436,-0.141,58667.22458
-0.14,184164.0193,-0.14,163780.9901,-0.14,139659.5107,-0.14,110996.0812,-0.14,77313.36113,-0.14,39196.2039,-0.14,174389.7028,-0.14,152238.9912,-0.14,125940.5142,-0.14,94779.25196,-0.14,58719.65378
-0.139,184183.7567,-0.139,163800.0293,-0.139,139679.4536,-0.139,111020.5727,-0.139,77351.11949,-0.139,39270.62118,-0.139,174408.9633,-0.139,152258.1935,-0.139,125962.0681,-0.139,94808.73772,-0.139,58771.11648
-0.138,184201.0628,-0.138,163816.8997,-0.138,139697.5317,-0.138,111043.5468,-0.138,77387.73521,-0.138,39344.23605,-0.138,174425.9188,-0.138,152275.3736,-0.138,125981.9259,-0.138,94836.89265,-0.138,58821.6159
-0.137,184215.9644,-0.137,163831.6249,-0.137,139713.7648,-0.137,111065.0185,-0.137,77423.21632,-0.137,39417.04693,-0.137,174440.5949,-0.137,152290.5532,-0.137,126000.105,-0.137,94863.72841,-0.137,58871.15572
-0.136,184228.4899,-0.136,163844.2301,-0.136,139728.1739,-0.136,111085.0032,-0.136,77457.57139,-0.136,39489.05253,-0.136,174453.0181,-0.136,152303.7556,-0.136,126016.6239,-0.136,94889.25738,-0.136,58919.74007
-0.135,184238.6687,-0.135,163854.7412,-0.135,139740.7807,-0.135,111103.5175,-0.135,77490.80955,-0.135,39560.25188,-0.135,174463.2163,-0.135,152315.0046,-0.135,126031.5017,-0.135,94913.49255,-0.135,58967.37349
-0.134,184246.5314,-0.134,163863.1853,-0.134,139751.6079,-0.134,111120.5781,-0.134,77522.94044,-0.134,39630.64432,-0.134,174471.2185,-0.134,152324.3252,-0.134,126044.7586,-0.134,94936.44753,-0.134,59014.06096
-0.133,184252.1096,-0.133,163869.5904,-0.133,139760.6789,-0.133,111136.2031,-0.133,77553.97422,-0.133,39700.22947,-0.133,174477.0546,-0.133,152331.7435,-0.133,126056.4153,-0.133,94958.13657,-0.133,59059.80785
-0.132,184255.4364,-0.132,163873.9857,-0.132,139768.0183,-0.132,111150.4107,-0.132,77583.92154,-0.132,39769.00728,-0.132,174480.7557,-0.132,152337.2862,-0.132,126066.4934,-0.132,94978.57446,-0.132,59104.61995
-0.131,184256.5453,-0.131,163876.4009,-0.131,139773.6511,-0.131,111163.22,-0.131,77612.79351,-0.131,39836.97795,-0.131,174482.3537,-0.131,152340.981,-0.131,126075.0152,-0.131,94997.77658,-0.131,59148.50343
-0.13,184255.4715,-0.13,163876.8671,-0.13,139777.6032,-0.13,111174.6507,-0.13,77640.60172,-0.13,39904.142,-0.13,174481.8816,-0.13,152342.8564,-0.13,126082.0038,-0.13,95015.75882,-0.13,59191.46483
-0.129,184252.2504,-0.129,163875.4158,-0.129,139779.9012,-0.129,111184.723,-0.129,77667.35818,-0.129,39970.50021,-0.129,174479.3732,-0.129,152342.9417,-0.129,126087.4826,-0.129,95032.5376,-0.129,59233.51106
-0.128,184246.9189,-0.128,163872.0794,-0.128,139780.5724,-0.128,111193.4578,-0.128,77693.07531,-0.128,40036.05364,-0.128,174474.8631,-0.128,152341.2669,-0.128,126091.476,-0.128,95048.12983,-0.128,59274.64936
-0.127,184239.5145,-0.127,163866.8913,-0.127,139779.6448,-0.127,111200.8763,-0.127,77717.76595,-0.127,40100.80363,-0.127,174468.3868,-0.127,152337.8627,-0.127,126094.0088,-0.127,95062.55286,-0.127,59314.88733
-0.126,184230.0752,-0.126,163859.8852,-0.126,139777.1469,-0.126,111207.0005,-0.126,77741.44331,-0.126,40164.75177,-0.126,174459.9804,-0.126,152332.7605,-0.126,126095.1064,-0.126,95075.82449,-0.126,59354.23289
-0.125,184218.6403,-0.125,163851.0958,-0.125,139773.1079,-0.125,111211.8525,-0.125,77764.12098,-0.125,40227.89991,-0.125,174449.6809,-0.125,152325.9922,-0.125,126094.7946,-0.125,95087.96295,-0.125,59392.69427
-0.124,184205.2494,-0.124,163840.5581,-0.124,139767.5572,-0.124,111215.4552,-0.124,77785.81285,-0.124,40290.25014,-0.124,174437.5258,-0.124,152317.5904,-0.124,126093.1,-0.124,95098.98684,-0.124,59430.27998
-0.123,184189.9427,-0.123,163828.3081,-0.123,139760.5252,-0.123,111217.8317,-0.123,77806.53319,-0.123,40351.80482,-0.123,174423.5533,-0.123,152307.5882,-0.123,126090.0492,-0.123,95108.91514,-0.123,59466.99883
-0.122,184172.7614,-0.122,163814.3818,-0.122,139752.0424,-0.122,111219.0054,-0.122,77826.29653,-0.122,40412.56652,-0.122,174407.802,-0.122,152296.0192,-0.122,126085.6696,-0.122,95117.76716,-0.122,59502.85991
-0.121,184153.7467,-0.121,163798.8162,-0.121,139742.1398,-0.121,111219.0004,-0.121,77845.11771,-0.121,40472.53805,-0.121,174390.3113,-0.121,152282.9175,-0.121,126079.9889,-0.121,95125.56256,-0.121,59537.87255
-0.12,184132.9408,-0.12,163781.6485,-0.12,139730.8489,-0.12,111217.8408,-0.12,77863.01183,-0.12,40531.72244,-0.12,174371.1207,-0.12,152268.3174,-0.12,126073.0351,-0.12,95132.32124,-0.12,59572.04633
-0.119,184110.3861,-0.119,163762.9161,-0.119,139718.2014,-0.119,111215.5511,-0.119,77879.99424,-0.119,40590.12293,-0.119,174350.2705,-0.119,152252.2539,-0.119,126064.8364,-0.119,95138.06343,-0.119,59605.39106
-0.118,184086.1253,-0.118,163742.6572,-0.118,139704.2293,-0.118,111212.1561,-0.118,77896.08052,-0.118,40647.74298,-0.118,174327.8012,-0.118,152234.7621,-0.118,126055.4216,-0.118,95142.80958,-0.118,59637.91676
-0.117,184060.2018,-0.117,163720.9101,-0.117,139688.9652,-0.117,111207.6808,-0.117,77911.28646,-0.117,40704.58623,-0.117,174303.7537,-0.117,152215.8775,-0.117,126044.8195,-0.117,95146.58037,-0.117,59669.63368
-0.116,184032.6589,-0.116,163697.7132,-0.116,139672.4415,-0.116,111202.1505,-0.116,77925.62806,-0.116,40760.65654,-0.116,174278.169,-0.116,152195.6359,-0.116,126033.0593,-0.116,95149.39669,-0.116,59700.55224
-0.115,184003.5406,-0.115,163673.1056,-0.115,139654.6913,-0.115,111195.5906,-0.115,77939.12148,-0.115,40815.95792,-0.115,174251.0888,-0.115,152174.0733,-0.115,126020.1704,-0.115,95151.27962,-0.115,59730.68303
-0.114,183972.8908,-0.114,163647.1263,-0.114,139635.7474,-0.114,111188.0268,-0.114,77951.78304,-0.114,40870.49459,-0.114,174222.5546,-0.114,152151.226,-0.114,126006.1822,-0.114,95152.25038,-0.114,59760.03683
-0.113,183940.7539,-0.113,163619.8145,-0.113,139615.6431,-0.113,111179.4847,-0.113,77963.62923,-0.113,40924.27092,-0.113,174192.6082,-0.113,152127.1301,-0.113,125991.1245,-0.113,95152.33036,-0.113,59788.62456
-0.112,183907.1741,-0.112,163591.2095,-0.112,139594.4117,-0.112,111169.9903,-0.112,77974.67663,-0.112,40977.29144,-0.112,174161.2918,-0.112,152101.8224,-0.112,125975.027,-0.112,95151.54105,-0.112,59816.45728
-0.111,183872.196,-0.111,163561.351,-0.111,139572.0866,-0.111,111159.5695,-0.111,77984.94197,-0.111,41029.56086,-0.111,174128.6473,-0.111,152075.3393,-0.111,125957.9196,-0.111,95149.90405,-0.111,59843.54618
-0.11,183835.8642,-0.11,163530.2784,-0.11,139548.7015,-0.11,111148.2484,-0.11,77994.44204,-0.11,41081.084,-0.11,174094.717,-0.11,152047.7176,-0.11,125939.8324,-0.11,95147.44105,-0.11,59869.90259
-0.109,183798.2234,-0.109,163498.0313,-0.109,139524.2897,-0.109,111136.0531,-0.109,78003.19373,-0.109,41131.86586,-0.109,174059.5432,-0.109,152018.994,-0.109,125920.7952,-0.109,95144.17381,-0.109,59895.5379
-0.108,183759.3181,-0.108,163464.6495,-0.108,139498.8848,-0.108,111123.0098,-0.108,78011.21399,-0.108,41181.91155,-0.108,174023.1681,-0.108,151989.2053,-0.108,125900.8383,-0.108,95140.12409,-0.108,59920.46364
